1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 6D00000043352121,,
Is Mission Active?  true,,
Mission Start:  Thu Apr 04 15:35:00 PDT 2019,,
Sample Rate:  Every 60 minute(s),,
Number of Mission Samples:  1769,,
Total Samples:  9086,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
2011-04-19 12:35,C,9
2011-04-19 13:35,C,10
2011-04-19 14:35,C,9
2011-04-19 15:35,C,9.5
2011-04-19 16:35,C,9
2011-04-19 17:35,C,9
2011-04-19 18:35,C,9.5
2011-04-19 19:35,C,9.5
2011-04-19 20:35,C,9.5
2011-04-19 21:35,C,9.5
2011-04-19 22:35,C,9.5
2011-04-19 23:35,C,9
2012-04-19 0:35,C,9
2012-04-19 1:35,C,9
2012-04-19 2:35,C,9
2012-04-19 3:35,C,9
2012-04-19 4:35,C,9
2012-04-19 5:35,C,9
2012-04-19 6:35,C,9
2012-04-19 7:35,C,9
2012-04-19 8:35,C,9
2012-04-19 9:35,C,9.5
2012-04-19 10:35,C,9.5
2012-04-19 11:35,C,10
2012-04-19 12:35,C,10.5
2012-04-19 13:35,C,10.5
2012-04-19 14:35,C,11.5
2012-04-19 15:35,C,10.5
2012-04-19 16:35,C,10
2012-04-19 17:35,C,10
2012-04-19 18:35,C,10.5
2012-04-19 19:35,C,13
2012-04-19 20:35,C,12
2012-04-19 21:35,C,11.5
2012-04-19 22:35,C,10
2012-04-19 23:35,C,9.5
2013-04-19 0:35,C,9.5
2013-04-19 1:35,C,9
2013-04-19 2:35,C,9.5
2013-04-19 3:35,C,9.5
2013-04-19 4:35,C,9.5
2013-04-19 5:35,C,9.5
2013-04-19 6:35,C,9.5
2013-04-19 7:35,C,9
2013-04-19 8:35,C,9
2013-04-19 9:35,C,9
2013-04-19 10:35,C,9
2013-04-19 11:35,C,9
2013-04-19 12:35,C,9
2013-04-19 13:35,C,9.5
2013-04-19 14:35,C,9.5
2013-04-19 15:35,C,9.5
2013-04-19 16:35,C,10
2013-04-19 17:35,C,9
2013-04-19 18:35,C,9
2013-04-19 19:35,C,8
2013-04-19 20:35,C,9.5
2013-04-19 21:35,C,9.5
2013-04-19 22:35,C,9.5
2013-04-19 23:35,C,9.5
2014-04-19 0:35,C,9.5
2014-04-19 1:35,C,9
2014-04-19 2:35,C,9
2014-04-19 3:35,C,9
2014-04-19 4:35,C,9
2014-04-19 5:35,C,9
2014-04-19 6:35,C,9
2014-04-19 7:35,C,9
2014-04-19 8:35,C,9
2014-04-19 9:35,C,9.5
2014-04-19 10:35,C,9.5
2014-04-19 11:35,C,10
2014-04-19 12:35,C,9.5
2014-04-19 13:35,C,9.5
2014-04-19 14:35,C,10
2014-04-19 15:35,C,10
2014-04-19 16:35,C,10
2014-04-19 17:35,C,10
2014-04-19 18:35,C,9.5
2014-04-19 19:35,C,9
2014-04-19 20:35,C,8
2014-04-19 21:35,C,9.5
2014-04-19 22:35,C,10
2014-04-19 23:35,C,9.5
2015-04-19 0:35,C,9.5
2015-04-19 1:35,C,9
2015-04-19 2:35,C,9
2015-04-19 3:35,C,9
2015-04-19 4:35,C,9
2015-04-19 5:35,C,9
2015-04-19 6:35,C,9
2015-04-19 7:35,C,9
2015-04-19 8:35,C,9
2015-04-19 9:35,C,9
2015-04-19 10:35,C,9
2015-04-19 11:35,C,9.5
2015-04-19 12:35,C,9.5
2015-04-19 13:35,C,9.5
2015-04-19 14:35,C,9.5
2015-04-19 15:35,C,9.5
2015-04-19 16:35,C,10
2015-04-19 17:35,C,10
2015-04-19 18:35,C,10
2015-04-19 19:35,C,10
2015-04-19 20:35,C,8.5
2015-04-19 21:35,C,7.5
2015-04-19 22:35,C,9.5
2015-04-19 23:35,C,9.5
2016-04-19 0:35,C,9.5
2016-04-19 1:35,C,9.5
2016-04-19 2:35,C,9
2016-04-19 3:35,C,9
2016-04-19 4:35,C,9
2016-04-19 5:35,C,9
2016-04-19 6:35,C,9
2016-04-19 7:35,C,9
2016-04-19 8:35,C,9
2016-04-19 9:35,C,9.5
2016-04-19 10:35,C,9.5
2016-04-19 11:35,C,9.5
2016-04-19 12:35,C,9.5
2016-04-19 13:35,C,9.5
2016-04-19 14:35,C,9.5
2016-04-19 15:35,C,9.5
2016-04-19 16:35,C,9.5
2016-04-19 17:35,C,9.5
2016-04-19 18:35,C,9.5
2016-04-19 19:35,C,9.5
2016-04-19 20:35,C,9.5
2016-04-19 21:35,C,9
2016-04-19 22:35,C,9
2016-04-19 23:35,C,9.5
2017-04-19 0:35,C,9.5
2017-04-19 1:35,C,9
2017-04-19 2:35,C,9
2017-04-19 3:35,C,9
2017-04-19 4:35,C,9
2017-04-19 5:35,C,9
2017-04-19 6:35,C,9
2017-04-19 7:35,C,9
2017-04-19 8:35,C,9
2017-04-19 9:35,C,9
2017-04-19 10:35,C,9.5
2017-04-19 11:35,C,10
2017-04-19 12:35,C,10
2017-04-19 13:35,C,10.5
2017-04-19 14:35,C,10.5
2017-04-19 15:35,C,10
2017-04-19 16:35,C,10
2017-04-19 17:35,C,10.5
2017-04-19 18:35,C,10.5
2017-04-19 19:35,C,10
2017-04-19 20:35,C,10
2017-04-19 21:35,C,10
2017-04-19 22:35,C,10
2017-04-19 23:35,C,10
2018-04-19 0:35,C,10
2018-04-19 1:35,C,10
2018-04-19 2:35,C,9.5
2018-04-19 3:35,C,9.5
2018-04-19 4:35,C,9.5
2018-04-19 5:35,C,9.5
2018-04-19 6:35,C,9.5
2018-04-19 7:35,C,9.5
2018-04-19 8:35,C,9.5
2018-04-19 9:35,C,9.5
2018-04-19 10:35,C,9.5
2018-04-19 11:35,C,9.5
2018-04-19 12:35,C,9.5
2018-04-19 13:35,C,9.5
2018-04-19 14:35,C,9.5
2018-04-19 15:35,C,9.5
2018-04-19 16:35,C,9.5
2018-04-19 17:35,C,9.5
2018-04-19 18:35,C,9.5
2018-04-19 19:35,C,9.5
2018-04-19 20:35,C,9.5
2018-04-19 21:35,C,9.5
2018-04-19 22:35,C,9.5
2018-04-19 23:35,C,9.5
2019-04-19 0:35,C,9.5
2019-04-19 1:35,C,9.5
2019-04-19 2:35,C,9.5
2019-04-19 3:35,C,9
2019-04-19 4:35,C,9
2019-04-19 5:35,C,9
2019-04-19 6:35,C,9
2019-04-19 7:35,C,9.5
2019-04-19 8:35,C,9.5
2019-04-19 9:35,C,9.5
2019-04-19 10:35,C,10
